Symptom,Disease
행동장애,"22번 염색체 장완 미세결실 증후군(CATCH22), 발모벽(Trichotillomania), 지적장애(Intellectual disability)"
입술,"22번 염색체 장완 미세결실 증후군(CATCH22), 구순열(Cleft lip), 두개 안면 부조화(Craniofacial dysharmony), 스티클러 증후군(Stickler syndrome), 에이퍼트 증후군 (Apert syndrome), 칼만 증후군(Kallmann syndrome), 파타우 증후군(Patau syndrome)"
입천장의 기형,"22번 염색체 장완 미세결실 증후군(CATCH22), 구순열(Cleft lip), 두개 안면 부조화(Craniofacial dysharmony), 스티클러 증후군(Stickler syndrome), 에이퍼트 증후군 (Apert syndrome), 칼만 증후군(Kallmann syndrome), 파타우 증후군(Patau syndrome)"
잦은 감염,"22번 염색체 장완 미세결실 증후군(CATCH22), 골수형성이상증후군(Myelodysplastic syndromes), 급성림프모구백혈병(Acute lymphoblastic leukemia), 다발골수종(Multiple myeloma), 만성골수백혈병(Chronic myeloid leukemia), 모세혈관 확장성 운동실조 증후군 (Ataxia-telangiectasia syndrome), 백혈병(Leukemia), 호중구감소증(Neutropenia)"
얼굴모양변화,"4번 염색체 단완결실 증후군(Wolf-Hirschhorn syndrome), 조로증(progeria), 지중해빈혈(Thalassemia), 치열 궁 관계 이상(Anomalies of dental arch relationship), 턱뼈 성장 이상(Anomalies of the jaw)"
귀 모양의 변형,"4번 염색체 단완결실 증후군(Wolf-Hirschhorn syndrome), XXX 증후군(XXX syndrome), 베크위트-위드만 증후군(Beckwith-Wiedemann syndrome), 소이증(Microtia)"
요도가 아랫쪽에 위치,"4번 염색체 단완결실 증후군(Wolf-Hirschhorn syndrome), 요도하열(Hypospadias)"
관절 구축,"ARC 증후군(Arthrogryposis, Renal dysfunction, Cholestasis, ARC syndrome), 근육병(Myopathy)"
색소 침착,"ARC 증후군(Arthrogryposis, Renal dysfunction, Cholestasis, ARC syndrome), 넬슨 증후군(Nelson's syndrome), 부신 기능부전(Adrenal insufficiency), 사타구니 백선(Tinea cruris), 상피내 신생물(IN SITU NEOPLASMS), 수부 습진(Hand Eczema), 피부암(Skin cancer)"
황달,"ARC 증후군(Arthrogryposis, Renal dysfunction, Cholestasis, ARC syndrome), Rh 부적합 임신(Rh Incompatibility pregnancy), 간 전이(Liver Metastasis), 간경화(Liver cirrhosis), 간내 담석(IHD stone), 간농양(Liver abscess), 간디스토마(Clonorchisis sinensis), 간문부 담관암(Klatskin's tumor), 간세포암(Hepatocellular carcinoma), 간신 증후군(Hepatorenal syndrome), 간염(Hepatitis), 거대적혈모구빈혈(Megaloblastic anemia), 경화성 담관염(Sclerosing cholangitis), 급성 A형 간염(Acute hepatitis A), 급성 B형 간염(Acute hepatitis B), 급성 C형 간염(Acute hepatitis C), 급성 바이러스성 간염(Acute viral hepatitis), 급성 췌장염(Acute pancreatitis), 담관암(Cholangiocarcinoma), 담낭암(GB cancer), 담석(GB stone), 독성 간염(Toxic hepatitis), 랑거한스세포 조직구증식증(Langerhans cell histiocytosis), 렙토스피라증(Leptospirosis), 만성 B형 간염(Chronic hepatitis B), 만성 C형 간염(Chronic hepatitis C), 바터 팽대부 암(AOV cancer), 발작성야간혈색뇨(Paroxysmal nocturnal hemoglobinuria), 선천성 갑상선기능저하증(Congenital hypothyroidism), 선천성 담관 폐쇄증(Congenital Atresia of Bile Ducts), 소장암(Small bowel cancer), 신생아 황달(Neonatal jaundice), 알코올성 간질환(Alcoholic liver disease), 용혈빈혈(Hemolytic anemia), 용혈성 요독 증후군(Hemolytic Uremic Syndrome), 원발성 담즙성 경화증(Primary Biliary cirrhosis), 윌슨병(Willson disease), 유전구형적혈구증(Hereditary spherocytosis), 이식편대숙주질환(Graft-versus-host reaction or disease(GVHD)), 자가면역성 간염(Autoimmune hepatitis), 자가면역용혈질환(Autoimmune hemolytic disease), 지중해빈혈(Thalassemia), 총담관 낭(Choledochal cyst), 총담관 담석(CBD stone), 췌장 전이암(Pancreatic metastasis), 췌장암(Pancreatic cancer), 카롤리병(Caroli’s disease), 핵황달(Kernicterus), 화농성 간농양(Pyogenic liver abscess), 황열(Yellow fever)"
뇌전증 발작 ,"Haw River 증후군(Dentatorubro-Pallidoluysian atrophy(DRPLA)), 광견병(Rabies), 교모세포종(Glioblastoma), 뇌 동정맥 기형(Cerebral arteriovenous malformation), 뇌동맥류(Cerebral aneurysm), 뇌성 마비(Cerebral palsy), 뇌전증(Epilepsy), 뇌종양(Brain tumor), 단순 포진성 뇌염(Herpes simplex encephalitis), 대사성 알칼리증(Metabolic Alkalosis), 바이러스성 뇌수막염(Viral meningitis), 부갑상선기능저하증(Hypoparathyroidism), 수막종(Meningioma), 스터지 웨버 증후군(Sturge Weber Syndrome), 스파르가눔증(Sparganosis), 악성 신경교종(Malignant Glioma), 원발성 중추신경계 림프종(Primary CNS lymphoma), 자간증(Eclampsia), 저나트륨혈증(Hyponatremia), 테이-삭스병 (Tay-Sachs disease), 피질하 경색과 백질뇌증을 동반하는 상염색체 우성 뇌동맥질환(Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy), 핵황달(Kernicterus)"
운동장애,"Haw River 증후군(Dentatorubro-Pallidoluysian atrophy(DRPLA)), 뇌졸중(Cerebrovascular disease), 뇌종양(Brain tumor), 다발성 경화증(Multiple sclerosis), 댄디워커 증후군(Dandy-Walker syndrome), 듀시엔형 근이영양증 (Duchenne muscular dystrophy), 레트 증후군 (Rett syndrome), 수막종(Meningioma), 신경초종(Schwannoma), 악액질(Cachexia), 연골연화증(Chondromalacia), 진행성 핵상마비(progressive supranuclear palsy), 척수 종양(Spinal Cord tumor), 척수소뇌성 운동실조증 (Spinocerebellar ataxia, SCA), 척추병증(Spondylopathies), 크로이츠펠트-야콥병(Creutzfeldt-Jakob disease), 테이-삭스병 (Tay-Sachs disease), 통풍성 관절염(gouty arthritis)"
무증상,"PSA 상승(Elevated PSA), WPW 증후군(Wolff-Parkinson-White syndrome), 간 혈관종(Hepatic hemangioma), 간디스토마(Clonorchisis sinensis), 간세포암(Hepatocellular carcinoma), 간의 양성 신생물(Benign neoplasm of the liver), 갑상설관 낭종(Thyroglossal duct cyst), 거대세포 바이러스 질환(Cytomegaloviral diseases), 경동맥 협착증(Carotid artery stenosis), 고칼륨혈증(Hyperkalemia), 골감소증(Osteopenia), 기뇌증(Pneumocephalus), 난소 낭종(Ovarian cysts), 난소암(Ovarian cancer), 난소의 양성 종양(Benign ovary tumor), 남성 불임(Male infertility), 낭성 신장 질환(Cystic kidney disease), 단세포군감마글로불린병증(Monoclonal gammopathy of undetermined significance), 담낭 선근종증(Aadenomyomatosis of Gallbladder), 담낭 용종(GB polyp), 대동맥 협착(Aortic stenosis), 대동맥판막 기능부전(Aortic (valve) insufficiency), 대동맥판막 협착(Aortic (valve) stenosis), 대장 용종(Polyp of colon), 독성 간염(Toxic hepatitis), 동맥관 개존증(Patent ductus arteriosus), 만성 B형 간염(Chronic hepatitis B), 만성 C형 간염(Chronic hepatitis C), 망막 정맥 폐쇄(Retinal vein occlusion), 매독(Syphilis), 무정자증(azoospermia), 무증상 세균뇨(Asymptomatic bacteriuria), 미숙아 망막병증(Retinopathy of Prematurity), 발살바동 동맥류 파열(Ruptured sinus of valsava aneurysm), 발육성 치성 낭종(Developmental odontogenic cysts), 방광요관 역류(Vesicoureteral reflux), 방실 중격 결손(Atrioventricular septal defect), 새열 낭종(Branchial Cyst), 석회화 담낭(Porcelain GB), 선모충증(Trichinellosis), 선천성 수신증(Congenital hydronephrosis), 소장암(Small bowel cancer), 수신증(Hydronephrosis), 신경절 신경종(Ganglioneuroma), 심장 종양(Cardiac tumor), 아밀로이드증(Amyloidosis), 악성 종격동 종양(Malignant mediastinal tumor), 알코올성 간질환(Alcoholic liver disease), 양성 종격동 종양(Benign mediastinal tumor), 여성형 유방(Gynecomastia), 연부조직 육종(Soft tissue sarcoma), 원판형 반월상연골(Discoid meniscus), 위말트 림프종 (Gastric MALT lymphoma), 위선종(Gastric adenoma), 위염(Gastritis), 위용종(Gastric polyp), 유방의 미세석회화(Microcalcification of breast), 유방의 섬유선종(Fibroadenoma of breast), 이상 태위(Malpresentation of fetus), 이상지질혈증(Dyslipidemia), 이소성 췌장(Ectopic pancreas), 익상편(Pterygium), 인유두종 바이러스 감염증(Human papiloma virus infection), 일본 뇌염(Japanese encephalitis), 임신성 당뇨병(Gestational diabetes), 자궁 경부의 이형성증(Dysplasia of cervix uteri), 자궁 탈출증(Uterine Prolapse), 자궁내막 용종(Polyp of endometrium), 자궁의 평활근종(Leiomyoma of uterus), 잠재성 이분 척추(Spina bifida occulta), 저혈압(Hypotension), 전도 장애(Conduction disorders), 정자부족증(Oligospermia), 조기 위암(Early gastric cancer), 조혈모세포 이식(Stem cell transplantation), 죽상경화증(Atherosclerosis), 증상이 없는 HIV 감염(HIV infection, asymptomatic), 지방간(Fatty liver), 지방종(Lipoma), 지중해빈혈(Thalassemia), 직장 유암종(Rectal Carcinoid Tumor), 직장의 양성 종양(Rectum, benign tumor), 총담관 담석(CBD stone), 캐슬만병(Castlemans disease), 턱의 기타 낭증(Other cysts of jaw), 폐 전이(Lung Metastasis), 폐결절(Pulmonary nodule), 폐성 고혈압(Pulmonary hypertension), 폐암(Lung cancer), 피로 골절(Stress fracture), 한랭글로불린혈증(Cryoglobulinemia), 헬리코박터균 감염(Helicobacter pylori infection), 황열(Yellow fever), 흉선암(Thymus Cancer)"
청색증,"RS바이러스 감염증(RS virus infection), 금단 현상(Withdrawal Phenomenon), 단심실(Single ventricle), 대혈관 전위(Transposition of great artery), 동맥간증(Truncus arteriosus), 동상(Frostbite), 레이노병(Raynaud'S Phenomenon), 발육부전성 좌심 증후군(Hypoplastic left heart syndrome), 상대정맥 증후군(Superior vena cava Syndrome), 선천성 심장 질환(Congenital heart disease), 성인 호흡곤란 증후군(Adult respiratory distress syndrome), 수정대혈관 전위(Corrected TGA), 신생아 다혈구증(Polycythemia), 신생아 호흡곤란증후군(Neonatal respiratory distress syndrome), 심방 중격 결손(Atrial septal defect), 심부정맥 색전증(Deep vein thrombosis), 양대혈관 우심실 기시증(Double outlet right ventricle), 양방단실유입증(Double inlet ventricle), 엡스테인 심기형(Ebstein anomaly), 온전한 심실 중격을 가진 폐동맥 폐쇄(Pulmonary atresia with intact venticulr septum), 울혈성 심부전(Congestive heart failure), 이물질에 의한 기도 막힘(Airway obstruction), 전폐정맥연결 이상(Total anomalous pulmonary venous connection), 총동맥간증(Persistent truncus arteriosus), 카르시노이드 증후군(Carcinoid syndrome), 태변 흡인 증후군(Meconium aspiration syndrome), 파종혈관내응고(Diffuse or disseminated intravascular coagulation), 팔로 사 징후(Tetralogy of Fallot with/without PA), 폐기종(Emphysema), 폐부종(Pulmonary edema), 한랭글로불린혈증(Cryoglobulinemia), 회음 괴저(Fournier's gangrene), 횡격막 탈장(Diaphragmatic hernia), 후두개염(Epiglottitis)"
코막힘,"RS바이러스 감염증(RS virus infection), 군발성 두통 증후군(Cluster headache syndrome), 냉방병(Air-conditioningitis), 만성 기침(Chronic cough), 만성 부비동염(Chronic rhinosinusitis), 만성 비염(Chronic rhinitis), 부비동염(Sinusitis), 비부비동 종양(Sinonasal Tumor), 비용종(Nasal polyp), 비인두 종양(Nasopharyngeal tumor), 비중격 만곡(Nasal septal deviation), 상기도 감염(Upper respiratory infections), 새집 증후군(Sick building syndrome), 알레르기 비염(Allergic rhinitis)"
열,"RS바이러스 감염증(RS virus infection), 가와사키병(Kawasaki Disease), 간내 담석(IHD stone), 간농양(Liver abscess), 간문부 담관암(Klatskin's tumor), 간염(Hepatitis), 감염성 단핵구증(Infectious mononucleosis), 감염성 홍반(Erythema infectiosum), 거대세포 바이러스 질환(Cytomegaloviral diseases), 게실 질환(Diverticular disease), 결절성 다발동맥염(Polyarteritis nodosa), 결핵(Tuberculosis), 결핵성 골수염(Tuberculous osteomyelitis), 결핵성 복막염(Tuberculous peritonitis), 결핵성 수막염(Tuberculous meningitis), 결핵성 임파선염(Tuberculous lymphadenitis), 경부 림프절염(Cervical lymphadenitis), 고환염(Orchitis), 골반 염증성 질환(Pelvic inflammatory disease), 골수염(Osteomyelitis), 골수형성이상증후군(Myelodysplastic syndromes), 광견병(Rabies), 궤양성 대장염(Ulcerative colitis), 근단 주위 농양(Periapical abscess with sinus), 급성 A형 간염(Acute hepatitis A), 급성 B형 간염(Acute hepatitis B), 급성 간질성 신염(Acute tubulo-interstitial nephritis), 급성 담낭염(Acute cholecystitis), 급성 류마티스성 열(Acute Rheumatic fever), 급성 신우신염(Acute pyelonephritis), 급성 위장염(Acute gastroenteritis), 급성 중이염(Acute otitis media), 급성 충수염(Acute appendicitis), 급성 췌장염(Acute pancreatitis), 급성골수성백혈병(Acute myeloid leukemia), 급성림프모구백혈병(Acute lymphoblastic leukemia), 기쿠치병(Kikuchi Disease), 난소난관염(Oophoritis, Ovaritis), 노로바이러스 장염(Norovirus Gastroenteritis), 노카르디아증(Nocardiosis), 뇌농양(Brain abscess), 뇌염(Encephalitis), 늑막염(Pleurisy), 단순 포진성 뇌염(Herpes simplex encephalitis), 담석(GB stone), 뎅기열(Dengue fever), 독성 간염(Toxic hepatitis), 독성 쇼크 증후군(Toxic shock syndrome), 디프테리아(Diphtheritia), 라싸열(Lassa fever ), 라임병(Lyme disease), 랑거한스세포 조직구증식증(Langerhans cell histiocytosis), 레지오넬라증(Legionella), 렙토스피라증(Leptospirosis), 로하드 증후군(ROHHAD Syndrome), 리스테리아(Listeria), 마버그열(Marburg hemorrhagic fever), 만성 B형 간염(Chronic hepatitis B), 말라리아(Malaria), 메리오이드증(Melioidosis), 면역결핍증(Immunodeficiency disease), 모낭염(Folliculitis), 미만성 간질성 폐질환(Diffuse Interstitial lung disease), 미세혈관병용혈빈혈(Microangiopathic hemolytic anemia), 바이러스성 뇌수막염(Viral meningitis), 바이러스성 장염(Viral enteritis(Rota)), 박테리아성 뇌수막염(Bacterial meningitis), 반코마이신 내성 장알균(VRE) 감염증(Vancomycin-Resistant Enterococci), 반코마이신 내성 황색포도알균(VRSA) 감염증(Vancomycin-Resistant Staphylococcus aureus), 발진열(Murine typhus), 발진티푸스(Epidemic typhus), 방선균증(Actinomycosis), 백혈병(Leukemia), 범혈구감소증(Pancytopenia), 병원 감염성 폐렴(Hospital acquired pneumonia (HAP)), 복막염(Peritonitis), 봉와직염(Cellulitis), 부고환염(Epididymitis), 부비동염(Sinusitis), 부신 기능부전(Adrenal insufficiency), 브루셀라증(Brucellosis), 비브리오 패혈증(Vibrio vulnificus Septicemia), 비장암(Spleen Cancer), 비호지킨 림프종(Non-Hodgkin lymphoma), 산욕열(Puerperal fever), 상기도 감염(Upper respiratory infections), 새열 낭종(Branchial Cyst), 샤가스병(Chagas disease), 선모충증(Trichinellosis), 성인형 스틸병(Adult-Onset Stills disease), 성홍열(Scarlet fever), 세균성 이질(Shigellosis), 소아마비(Polio), 속립성 결핵(Miliary tuberculosis), 수두(Varicella (chickenpox)), 수부 습진(Hand Eczema), 수족구병(Hand, foot and mouth disease), 슈도모나스 감염(Pseudomonas infection), 식도염(Esophagitis), 식중독(Foodborne illness), 신증후성 출혈열(Hemorrhagic fever with renal syndrome), 심근염(Myocarditis), 심낭염(Pericarditis), 심내막염(Endocarditis), 십이지장염(Duodenitis), 아메바성 간농양(Amebic liver abscess), 아스페르길루스증(Aspergillosis), 악성 고열증(Malignant hyperthermia), 악성 종격동 종양(Malignant mediastinal tumor), 알코올성 간질환(Alcoholic liver disease), 야토병(Tularemia), 약물 알레르기(Drug allergy), 에볼라 출혈열(Ebola hemorrhagic fever), 요관 협착(Ureteral stricture), 요근 농양(Psoas abscess), 요로 감염(Urinary tract infection), 요붕증(Diabetes insipidus), 용혈성 요독 증후군(Hemolytic Uremic Syndrome), 원인을 알 수 없는 열(Fever of unknown origin), 웨스트나일열(West Nile Fever), 위막성 대장염(Pseudomembranous colitis), 위장관 결핵(Gastrointestinal tuberculosis), 위장관 기질 종양(Stomach GIST), 윌름즈 종양(Wilms Tumor), 유선염(Mastitis), 유잉육종(Ewing sarcoma), 유행성 이하선염(Mumps), 융모양막염(Chorioamnionitis), 인플루엔자(Influenza), 일과성 고관절 활액막염(Transient synovitis of hip), 일본 뇌염(Japanese encephalitis), 임질(Gonorrhea), 임파선염(Lymphadenitis), 자가면역 질환(autoimmune diseasse), 자가면역용혈질환(Autoimmune hemolytic disease), 장티푸스(typhoid fever), 재생불량빈혈(Aplastic anemia), 전신 홍반성 낭창(Systemic lupus erythematosus), 점액낭염(Bursitis), 조류 인플루엔자(AI) 인체감염증(Avian Influenza Human Infection), 종격동염(Mediastinitis), 중동 호흡기 증후군(MERS)(Middle East Respiratory Syndrome), 중증 급성 호흡기 증후군(Severe Acute Respiratory Syndrom), 중증 열성 혈소판감소 증후군(Severe fever with thrombocytopenia syndrome(SFTS)), 지카 바이러스 감염증(Zikavirus Infection), 처그 스트라우스 증후군(Churg strauss syndrome), 척추 골수염(Vertebral osteomyelitis), 총담관 담석(CBD stone), 충수암(appendiceal carcinoma), 췌장 전이암(Pancreatic metastasis), 췌장암(Pancreatic cancer), 치조골염(Alveolar ostitis), 치쿤구니야열(Chikungunya Fever), 카르시노이드 증후군(Carcinoid syndrome), 칸디다성 구내염(Candidal stomatitis), 캄필로박터 감염증(Campylobacteriosis), 캐슬만병(Castlemans disease), 코로나-19(COVID-19), 콜레라(Cholera), 큐열(Q Fever), 크론병(Crohn's disease), 타카야수 혈관염(Takayasu’s Arteritis), 탄저병(Anthrax), 탈락 피부염(Exfoliative dermatitis), 털진드기병(Scrub typhus), 통풍(Gout), 파라인플루엔자 감염증(Parainfluenza infection), 패혈성 관절염(Septic arthtritis), 패혈증(Sepsis), 편도선염(Tonsillitis), 폐 농양(Abscess of lung), 폐결핵(Pulmonary tuberculosis), 폐렴(Pneumonia), 폐렴간균에 의한 폐렴 (Klebsiella pneumoniae infection), 포도상구균 감염(Staphylococcus aureus infection), 풍진(Rubella(German measles)), 피부근육염(Dermatopolymyositis), 항문 누공(Anal fistula), 항문 및 직장의 궤양(Ulcer of anus and rectum), 항문 주위 농양(Perianal abscess), 해외여행 시 주의사항(Travel counseling), 헤노호 쉰라인 자반증(Henoch-Schonlein purpura), 혈관염(Vasculitis), 혈뇨(Hematuria), 호산구 증가증(Eosinophilia), 호중구감소증(Neutropenia), 홍역(Measles), 화농성 간농양(Pyogenic liver abscess), 황열(Yellow fever), 효모균증(Cryptococcosis), 후두개염(Epiglottitis), 흑사병(Yersinia Pestis), 히스토플라즈마증(Histoplasmosis)"
콧물,"RS바이러스 감염증(RS virus infection), 군발성 두통 증후군(Cluster headache syndrome), 급성 C형 간염(Acute hepatitis C), 냉방병(Air-conditioningitis), 디프테리아(Diphtheritia), 레지오넬라증(Legionella), 만성 비염(Chronic rhinitis), 바이러스성 장염(Viral enteritis(Rota)), 백일해(Pertussis), 부비동염(Sinusitis), 비용종(Nasal polyp), 상기도 감염(Upper respiratory infections), 알레르기 비염(Allergic rhinitis), 음식 알레르기(Food allergy), 파라인플루엔자 감염증(Parainfluenza infection), 홍역(Measles), 후비루(Postnasal drip)"
빈호흡,"RS바이러스 감염증(RS virus infection), 결핵성 복막염(Tuberculous peritonitis), 고나트륨혈증(Hypernatremia), 농흉(Pyothorax, Empyema), 불안 장애(Anxiety disorder), 악성 고열증(Malignant hyperthermia), 자궁 외 임신(Ectopic pregnancy), 전폐정맥연결 이상(Total anomalous pulmonary venous connection), 태변 흡인 증후군(Meconium aspiration syndrome), 패혈증(Sepsis), 호흡성 알칼리증(Respiratory Alkalosis), 흉막 삼출(Pleural effusion)"
