Title,Symptoms,Related Diseases,Departments,Synonyms
간 전이(Liver Metastasis),"식욕부진, 황달, 체중감소, 복부 통증","폐암, 췌장암, 유방암, 식도암, 대장암, 위암, 악성 흑색종","종양내과, 방사선종양학과, 간담도췌외과, 간이식ㆍ간담도외과",metastatic tumors of the liver
간 혈관종(Hepatic hemangioma),"포만감, 복부 불편감, 무증상, 오심",간의 양성 신생물,"소화기내과, 성형외과","hepatichemangioma,간해면상혈관종,간혈관종,해면상간혈관종"
간경화(Liver cirrhosis),"피부 긴장도 저하, 황달, 오심, 복수, 복부 불편감, 식욕부진, 피로감, 체중감소","원발성 담즙성 경화증, 간세포암, 간성 뇌증, 간염, 만성 C형 간염, 만성 B형 간염, 자가면역성 간염","소화기내과, 간이식ㆍ간담도외과","간경변,간경변병,간경변증,간경화병,간경화증,간섬유병,간섬유증,간섬유화병,간섬유화증,간의경변"
간내 담석(IHD stone),"악취가 나는 설사, 복부 통증, 소화불량, 황달, 열","담관암, 간세포암, 담석","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과","간내 결석,간내결석증,간내담석증,간석증"
간농양(Liver abscess),"복부 통증, 구토, 오심, 기운없음, 오한, 열, 설사, 압통, 간비대, 황달",아메바성 간농양,"감염내과, 소화기내과, 간담도췌외과, 간이식ㆍ간담도외과",간의 고름집
간디스토마(Clonorchisis sinensis),"설사, 간비대, 무증상, 소화불량, 담도감염, 황달, 복부 통증",간농양,소화기내과,간흡충증
간문부 담관암(Klatskin's tumor),"회색변, 빈혈, 진한 소변색, 피부소양감, 황달, 체중감소, 열, 식욕부진","총담관 담석, 간디스토마, 경화성 담관염, 궤양성 대장염, 총담관 낭, 담석","소화기내과, 종양내과, 방사선종양학과, 간담도췌외과, 간이식ㆍ간담도외과","간문부암,근위부 담관암,상부 담관암,클라츠킨 종양,Klatskin's tumor"
간성 뇌증(Hepatic encephalopathy),"자세 불안정, 불면증, 혼돈, 혼수, 인지장애, 감정 변화","복막염, 간경화, 식도 정맥류, 알코올성 간질환, 간염",소화기내과,"hepatic coma,간성뇌증,간성혼수,간성혼수증"
간세포암(Hepatocellular carcinoma),"덩어리가 만져짐, 체중감소, 복부 통증, 무증상, 황달","간농양, 간 전이, 간염, 만성 B형 간염","소화기내과, 종양내과, 방사선종양학과, 간담도췌외과, 간이식ㆍ간담도외과","liver cancer,간세포암종,간암,간세포성 암종"
간신 증후군(Hepatorenal syndrome),"황달, 피부소양감, 전신 부종, 혼돈, 진한 소변색, 소변량 감소","신증후군, 간경화",소화기내과,
간염(Hepatitis),"관절통, 황달, 기운없음, 열, 오심, 간성뇌증, 피로감, 근육통, 식욕부진, 진한 소변색, 복부 불편감, 구토, 복수, 간부전, 두통, 피부소양감","간성 뇌증, 복수, 독성 간염, 지방간, 만성 C형 간염, 만성 B형 간염, 자가면역성 간염, 급성 바이러스성 간염, 급성 B형 간염, 간경화, 전격성 간염, 급성 C형 간염, 급성 A형 간염",소화기내과,"간세포 염증,간염증"
간의 양성 신생물(Benign neoplasm of the liver),"무증상, 복부 압박 증상, 구토, 오심, 복부 통증, 복부팽만감","간농양, 간 혈관종","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과","간의 양성 종양,간종양"
간이식 후 상태(Liver Transplantation status),복부 통증,"선천성 담관 폐쇄증, 신생아 답즙정체증, 간세포암, 간경화, 윌슨병","소화기내과, 간이식ㆍ간담도외과",
간질성 방광염(Interstitial Cystitis),"빈뇨, 방광 팽만, 복부 통증, 긴박뇨, 야간뇨","급성 방광염, 골반 염증성 질환",비뇨의학과,"만성 방광염,방광 통증 증후군"
간찰성 홍반(Erythema intertrigo),"소양감, 발적, 딱지, 물집, 발진","지루성 피부염, 기저귀 피부염, 접촉 피부염, 땀띠",피부과,마찰 피부염
갈락토오스혈증(Galactosemia),,"당원 축적병, 폼페병","의학유전학센터, 의학유전학과","Galactose-1-phosphate uridyltransferase deficiency,갈락토스혈증"
갈색세포종(Pheochromocytoma),"가슴 두근거림, 어지러움, 발한, 고혈압",고혈압,내분비내과,크롬친화세포종
감각신경성 난청(Sensorineural hearing loss),"청력장애, 어지러움, 이명","노인성 난청, 메니에르병, 이명, 난청",이비인후과,신경성 난청
감돈포경(Paraphimosis),"귀두가 울혈됨, 생식기 통증, 배뇨곤란","귀두포피염, 포경",비뇨의학과,과장포피
감염성 근육염(Infective myositis),"발진, 환부 부종, 압통, 열감, 피부염증",피부근육염,감염내과,바이러스성 근육염
감염성 단핵구증(Infectious mononucleosis),"압통, 발진, 삼키기 곤란 , 열감, 목의 통증, 열, 기운없음, 오한","성병, 후천성 면역결핍증, 면역결핍증, 경부 림프절염","감염내과, 혈액내과","전염성단핵세포증,키스병,엡스타인-바 바이러스 감염증"
감염성 홍반(Erythema infectiosum),"두통, 식욕부진, 안면홍조, 열, 권태감",감염성 홍반,감염내과,"전염성 홍반,제5병"
갑상선 결절(Thyroid nodule),"호흡곤란, 삼키기 곤란 , 갑상선이 단단해짐, 갑상선 비대","갑상선 미분화암, 부갑상선기능저하증, 갑상선 결절, 선천성 갑상선기능저하증, 갑상선암, 갑상선 여포암, 갑상선기능저하증, 갑상선염, 갑상선중독증, 산후 갑상선염, 갑상선기능항진증, 갑상선 수질암, 부갑상선기능항진증","내분비내과, 이비인후과, 핵의학과",갑상샘결절
갑상선 미분화암(Undifferentiated thyroid cancer),"목의 이물감, 삼키기 곤란 , 호흡곤란, 목소리 변화","갑상선암, 갑상선 여포암, 갑상선 수질암","내분비내과, 이비인후과, 내분비외과",갑상샘미분화암
갑상선 수질암(Medullary thyroid cancer),"호흡곤란, 목의 이물감, 목소리 변화, 삼키기 곤란 ","갑상선암, 갑상선 여포암, 갑상선 미분화암","내분비내과, 이비인후과, 내분비외과",갑상샘수질암
갑상선 여포암(Follicular thyroid cancer),"목소리 변화, 삼키기 곤란 , 호흡곤란, 목의 이물감","갑상선암, 갑상선 미분화암, 갑상선 수질암","내분비내과, 이비인후과, 내분비외과",갑상샘여포암
갑상선 유두암(Papillary Carcinoma of Thyroid ),"호흡곤란, 목소리 변화, 덩어리가 만져짐, 목 주변 부종","갑상선 미분화암, 갑상선 수질암, 갑상선암, 갑상선 여포암, 갑상선 결절","내분비내과, 이비인후과, 내분비외과",
갑상선기능저하증(Hypothyroidism),"피부 건조, 창백, 체중증가, 피로감, 전신 부종, 식욕부진, 목소리 변화, 월경과다, 추위를 못견딤, 근육통","갑상선 결절, 갑상선염, 갑상선기능항진증, 산후 갑상선염",내분비내과,"갑상샘기능저하,갑상샘저하증,갑상선기능저하,갑상선저하증"
갑상선기능항진증(Hyperthyroidism),"빈맥, 피부 건조, 신경과민, 불면증, 부정맥, 설사, 무월경, 안구돌출","갑상선 결절, 갑상선중독증, 갑상선암, 갑상선기능저하증, 산후 갑상선염, 갑상선염","가정의학과, 내분비내과, 내분비외과","갑상샘 기능 항진증,갑상샘항진증,갑상선 항진증"
갑상선암(Thyroid cancer),"덩어리가 만져짐, 성대마비, 결절, 삼키기 곤란 , 갑상선이 단단해짐, 호흡곤란","갑상선기능저하증, 갑상선 수질암, 갑상선 결절, 부갑상선기능저하증, 갑상선 여포암, 갑상선 미분화암, 갑상선염, 갑상선중독증","내분비내과, 이비인후과","갑상샘암,갑상선암종"
갑상선염(Thyroiditis),"갑상선이 단단해짐, 갑상선 비대, 목의 통증","산후 갑상선염, 갑상선기능저하증, 갑상선중독증, 갑상선기능항진증, 갑상선 결절","내분비내과, 이비인후과, 내분비외과",갑상선염증
갑상선중독증(Thyrotoxicosis),"식욕증가, 발한, 생리불순, 손떨림, 안구돌출, 신경과민, 불안, 더위를 못 견딤, 체중감소, 갑상선 비대","무과립구증, 갑상선기능저하증, 갑상선기능항진증, 갑상선염, 산후 갑상선염","내분비내과, 내분비외과","Graves Disease,갑상샘 중독증,갑상선 중독,그레이브스병"
갑상설관 낭종(Thyroglossal duct cyst),"목의 통증, 무증상, 목 주변 부종, 목의 이물감","갑상선 결절, 갑상선암",이비인후과,갑상설관낭
강박 장애(Obsessive-Compulsive Disorder),"불안, 의심, 반복적인 동작","자폐증 / 자폐 스펙트럼 장애, 불안 장애, 우울증, 틱 장애",정신건강의학과,"강박신경증,강박증,강박성 장애"
강직성 척추염(Ankylosing spondylitis),"어깨의 통증, 관절통, 말초 통증, 골반 통증, 엉덩이 통증, 관절의 경직, 요통","척추병증, 요추관 협착증, 포도막염, 퇴행성 척추 장애","재활의학과, 류마티스내과","경직성 척추염,강직척추염"
객혈(Hemoptysis),"객혈, 거품이 섞인 가래, 가래","폐 혈전색전증, 식도암, 폐암, 비소세포성 폐암, 소세포성 폐암, 폐렴, 속립성 결핵, 기관지확장증, 폐결핵, 폐 전이, 승모판 협착, 아스페르길루스증, 만성 기관지염, 폐부종, 결핵",호흡기내과,"각혈,혈담"
"거대 유방(Macromastia, Gigantomastia, large breast, hypermas)",,거대 유방,성형외과,
거대세포 바이러스 질환(Cytomegaloviral diseases),"정신 지체, 난청, 청력장애, 궤양, 열, 피로감, 태아 저체중, 무증상","단순 포진성 뇌염, 구순포진, 감염성 단핵구증, 대상포진 후 신경통, 대상포진, 헤르페스 바이러스 감염","감염내과, 소아감염과",사이토메갈로 바이러스 감염
거대적혈모구빈혈(Megaloblastic anemia),"황달, 운동 시 호흡곤란, 창백, 저림, 근력 약화, 의식 변화, 기억장애, 피로감",용혈빈혈,,거대적아구성 빈혈
거북목 증후군(Turtle neck syndrome),"어깨의 통증, 목의 통증, 어지러움, 불면증, 눈의 피로","경추 추간판 탈출증, 복합 부위 통증 증후군, 만성 피로 증후군, 섬유근육통",정형외과,"거북목,일자목,일자목 증후군,일자목증후군"
거스트만 증후군(Gerstmann Syndrome),"지남력 장애, 인지장애, 학습장애","뇌종양, 양성 뇌종양, 뇌졸중, 뇌농양","신경과, 신경외과, 재활의학과","게르스트만 증후군,저스트만 증후군"
건 손상(Tendon injury),"손가락 운동장애, 환부 통증, 발 굴곡 운동의 제한, 발끝으로 설 수 없음","회전근개 증후군, 수부 외상",정형외과,"힘줄손상,힘줄파열"
건강염려증(Hypochondriasis),"질병에 대한 공포, 비현실감, 병원 쇼핑",신체형 장애,정신건강의학과,"건강염려증상,심기증,질병 불안장애"
건선(Psoriasis),"고름, 발진, 인설","탈락 피부염, 피부염",피부과,"건선피부,건선피부염"
건초염(Tenosynovitis),"근위축, 환부 통증, 환부 부종","주관절 외상과염, 내상과염, 방아쇠 수지, 아킬레스 건염",정형외과,"건막염,건초염증,활막염,활액막염"
게실 질환(Diverticular disease),"위장관 출혈, 복부팽만감, 배변습관의 변화, 복부 통증, 오한, 변비, 열",메켈 게실,"소화기내과, 대장항문외과","게실병,게실염,게실증,대장 게실"
결막염(Conjunctivitis),"눈의 충혈, 눈꼽, 눈의 피로, 눈부심, 눈의 자극감","각막 혼탁과 흉터, 출혈성 결막염, 각막 궤양, 안구 건조증, 알레르기성 결막염, 백일해","안과, 소아안과",
결절성 경화증 (Tuberous sclerosis),"정신 지체, 결절, 하얀 반점, 경련","피질하 경색과 백질뇌증을 동반하는 상염색체 우성 뇌동맥질환, 모세혈관 확장성 운동실조 증후군 , 로우 증후군, 신경섬유종, 레트 증후군 ","의학유전학센터, 의학유전학과",결절경화증
결절성 다발동맥염(Polyarteritis nodosa),"근육통, 피로감, 말초 신경장애, 열, 관절통, 자반증","급성 B형 간염, 혈관염, 심내막염, 급성 C형 간염","혈관외과, 심장병원, 류마티스내과","결절다발동맥염,결절성동맥주위염"
결절종(Ganglion),"환부 통증, 덩어리가 만져짐",지방종,"성형외과, 정형외과","갱그리온,갱글리온"
결핵(Tuberculosis),"열, 체중감소, 기침, 객혈, 가래","결핵성 복막염, 속립성 결핵, 폐결핵, 결핵성 수막염, 결핵성 골수염, 위장관 결핵, 결핵성 임파선염","감염내과, 호흡기내과",
결핵성 골수염(Tuberculous osteomyelitis),"체중감소, 열, 관절통, 식욕부진, 근육경련, 뼈의 변형","결핵성 임파선염, 결핵성 복막염, 위장관 결핵, 척추 골수염, 속립성 결핵, 결핵, 골수염, 결핵성 수막염, 폐결핵",감염내과,
결핵성 복막염(Tuberculous peritonitis),"발한, 권태감, 식욕부진, 압통, 체중감소, 빈호흡, 오심, 복부 통증, 열, 빈맥, 복수, 복부팽만감","폐결핵, 결핵성 수막염, 위장관 결핵, 결핵, 복막염, 결핵성 골수염, 결핵성 임파선염, 속립성 결핵",감염내과,
결핵성 수막염(Tuberculous meningitis),"눈운동신경마비, 열, 두통, 졸림, 시야장애, 혼수",후천성 면역결핍증,"감염내과, 신경과",결핵성 뇌수막염
결핵성 임파선염(Tuberculous lymphadenitis),"고름, 식욕부진, 발한, 피부궤양, 목의 통증, 목 주변 부종, 피로감, 체중감소, 열","위장관 결핵, 폐결핵, 속립성 결핵, 결핵, 결핵성 수막염, 결핵성 골수염, 결핵성 복막염",감염내과,결핵성 임파선
경계성 인격장애(Borderline personality disorder),"망상, 의심, 우울, 자살의 위험, 조절할 수 없는 충동감, 대인관계 어려움, 약물남용","양극성 장애, 우울증, 불안 장애, 행동 및 충동 장애, 병적 방화, 분노 조절 장애, 반사회성 인격장애, 망상 장애, 해리 장애, 편집성 인격장애, 병적 도벽",정신건강의학과,"경계선 인격장애,경계역 인격장애"
경골과 비골 골절(Fracture of tibia & fibula),"손상 부위 통증, 손상 부위 출혈, 다리변형, 하지부종","대퇴 골절, 골절 후 부정 유합, 불유합, 원위 요골과 척골 골절",정형외과,"경골 골절,비골 골절"
경동맥 협착증(Carotid artery stenosis),"무증상, 언어장애, 감각 이상, 어지러움, 반신마비","뇌졸중, 고혈압, 급성 심근경색증, 죽상경화증, 당뇨병","혈관외과, 심장외과","경동맥협착,죽상경화성경동맥협착증,목동맥 협착증"
경미한 인지장애(Mild cognitive impairment),"우울, 판단력장애, 기억장애, 언어장애, 무관심","간성 뇌증, 혈관성 치매, 치매, 우울증",신경과,"MCI,경도 인지장애,경도인지기능장애,경미 인지장애,경미한인지기능장애"
경부 림프절염(Cervical lymphadenitis),"통증 없는 부종, 압통, 열","편도선염, 이하선염, 림프부종, 풍진, 홍역, 아데노이드의 비대를 동반한 편도의 비대, 결핵성 임파선염, 임파선염, 림프종, 림프관종","감염내과, 이비인후과","경부 림프절,경부 림프절종대,목의 급성 림프절염"
경추 추간판 탈출증(Cervical HIVD),"어깨의 통증, 목의 통증, 손의 통증, 마비, 감각 이상, 저림","퇴행성 척추 장애, 요추 전방전위증, 요추관 협착증, 외상에 의한 척추 손상","신경외과, 정형외과","경추수핵탈출증,목디스크,추간판 헤르니아,추간판장애,추간판탈출증"
경화성 담관염(Sclerosing cholangitis),"황달, 식욕부진, 피부소양감, 체중감소, 복부 통증","췌장염, 간경화, 대장암, 간내 담석, 궤양성 대장염, 담관암",소화기내과,"경화성 담도염,원발경화성담관염"
계류 유산(Missed abortion),"멍, 커지지 않는 자궁, 복부 통증, 비정상적 질출혈, 유방의 퇴행, 비출혈, 체중감소",유산,산부인과,
고관절 이형성증(DDH (developmental dysplasia of the hip)),"오리걸음, 다리가 잘 안 벌어짐, 귀두가 울혈됨, 다리의 길이가 틀림",대퇴골두 무혈관성 괴사,"정형외과, 소아정형외과","발달성고관절이형성증,발달성고관절탈구,선천성고관절이형성증,선천성고관절탈구,신생아고관절탈구,아기고관절탈구"
고나트륨혈증(Hypernatremia),"빈호흡, 피부 긴장도 저하, 오심, 갈증, 식욕부진","요붕증, 당뇨병, 신부전","신장내과, 응급의학과","고나트륨증,고장성 및 고나트륨혈증,과나트륨증,과나트륨혈증"
고마그네슘혈증(Hypermagnesemia),"심정지, 오심, 호흡곤란, 부정맥, 근력 약화, 구토, 저혈압","당뇨병, 신부전, 부갑상선기능항진증","신장내과, 응급의학과","고마그네슘증,과마그네슘증,과마그네슘혈증"
고막염(Myringitis),"청력장애, 고막에 수포형성, 발적, 이물감, 이명","삼출성 중이염, 만성 중이염",이비인후과,
고산병(Mountain sickness),"말초부종, 탈수, 수면장애, 두통, 의식 변화, 식욕부진, 어지러움, 구토",폐부종,"가정의학과, 응급의학과","altitude sickness,산악병"
고셔병(Gaucher disease),,"니만-피크병, 이염성 백질이영양증 , 파브리병, 테이-삭스병 ","의학유전학센터, 소아신경과, 의학유전학과","가족성비성빈혈,고셰병"
고칼륨혈증(Hyperkalemia),"심정지, 무증상, 부정맥, 구토, 설사, 오심","화상, 신부전, 당뇨병","신장내과, 응급의학과, 소아신장과","고칼륨증,고칼륨혈,고포타시움혈증,과칼륨증,과칼륨혈,과칼륨혈증"
고칼슘혈증(Hypercalcemia),"탈수, 변비, 의식 변화, 구토, 오심","폐암, 신부전, 백혈병, 다발골수종, 부갑상선기능항진증, 유방암, 부신 기능부전","내분비내과, 응급의학과","고칼슘증,과칼슘증,과칼슘혈증"
고콜레스테롤혈증(Pure hypercholesterolemia),,"협심증, 급성 심근경색증, 뇌졸중","가정의학과, 내분비내과, 심장내과, 노년내과","고콜레스테롤혈,과콜레스테롤,과콜레스테롤혈증,콜레스테롤과다증"
고혈압(Essential (primary) hypertension),"피부 긴장도 저하, 어지러움, 두통, 가슴 두근거림","양성 종격동 종양, 악성 종격동 종양, 자발성 두개강 내 출혈, 뇌졸중, 망막 박리, 부신 종양, 신부전, 혈뇨, 임신성 고혈압, 급성 신부전, 만성 신부전, 뇌경색, 전이성 신장암, 자간증, 자간전증, 폐성 고혈압, 면역글로불린 A 신병증, 신우요관 폐색, 갈색세포종, 뇌하수체 기능 항진","가정의학과, 심장내과","High blood pressure,Hypertension,본태성 고혈압,속발성 고혈압"
고환 여성화 증후군(Testicular feminization syndrome),"원형, 타원형의 탈모, 자궁이 없음, 질은 없거나 짧은 맹관, 무월경",안드로겐 불감성 증후군 ,어린이병원,"고환여성화,남성호르몬 불감성 증후군,Androgen insensitivity syndrome"
고환 종양(Tumors of testis),"고환에 낭이 만져짐, 생식기 부종, 고환 불쾌감, 생식기 통증","생식선 및 생식 세포의 신생물, 잠복고환증","종양내과, 방사선종양학과, 비뇨의학과",고환암
고환염(Orchitis),"생식기 부종, 탁한 소변, 열","혈관염, 비임균성 요도염, 임균성 요도염, 부고환염",비뇨의학과,고환염증
고환의 염전(Torsion of testis),"빈뇨, 오심, 골반 통증, 구토","부고환염, 고환염",비뇨의학과,고환 염전
골감소증(Osteopenia),무증상,"골관절염, 갑상선기능항진증, 조기 폐경, 류마티스 관절염, 폐경기 및 여성의 갱년기 상태, 노인성 척추후만증, 병리적 골절, 골다공증, 폐경","가정의학과, 내분비내과","골량감소,뼈감소증"
골관절염(Osteoarthritis),"무릎 부위 부종, 관절 운동성 감소, 관절의 경직, 무릎 부위 통증, 관절통","소아 류마티스 관절염, 패혈성 관절염, 류마티스 관절염, 관절염","정형외과, 류마티스내과","DJD,degenerative arthritis,degenerative joint disease,퇴행성관절염"
골괴사(Osteonecrosis),"관절 운동성 감소, 병적골절, 환부 부종, 환부 통증",대퇴골두 무혈관성 괴사,정형외과,"골괴사증,뼈조직 괴사"
골다공증(Osteoporosis),"척추 후만, 관절통, 신장 감소, 골절","다발골수종, 폐경, 쿠싱 증후군, 부신 종양, 병리적 골절, 폐경기 및 여성의 갱년기 상태, 부갑상선기능항진증","가정의학과, 내분비내과, 노년내과, 정형외과",골조송증
골덴하 증후군(Goldenhar syndrome),,"대뇌성 거인증 , 엘러스-단로스 증후군 , 베크위트-위드만 증후군, 트리처 콜린스 증후군 , 바르덴부르크 증후군, 연골외배엽 이형성증 , 판코니범혈구감소증, 코넬리아드랑게 증후군 , 홀트-오람 증후군 , 클리펠-트라우네이-베버 증후군, 다발성 흑자 증후군, 마르판 증후군 , 누난 증후군 , ARC 증후군, 러셀 실버 증후군 , 루빈스타인 테이비 증후군 ","의학유전학센터, 의학유전학과","얼굴귓바퀴척추증후군,Oculo-Auriculo-Vertebra syndrome"
골반 염증성 질환(Pelvic inflammatory disease),"복부 통증, 골반 통증, 비정상적 질 분비물, 악취, 열","난소, 난관 이상, 여성 불임, 임질",산부인과,"PID,골반내염증,골반내염증질환,골반염"
골수염(Osteomyelitis),"열감, 열, 피부 긴장도 저하, 환부 부종, 권태감, 식욕부진, 두통","척추 골수염, 결핵성 골수염",감염내과,골수염증
